Catagory,libnum,Title,Composer,Arranger,Copyright,Ensemble,Notes
CS,2,DO YOU KNOW THE WAY TO SAN JOSE,"BACHARACH, BURT & DAVID, HAL","ADES, HAWLEY",1970,,
CS,9,LET THERE BE PEACE ON EARTH,"MILLER, SY & JACKSON, JILL","ADES, HAWLEY",1969,,
MC,103,RING THOSE CHRISTMAS BELLS,"FISHER, MARVE & LEVINE, GUS","ADES, HAWLEY",1960,Concert Band,
LC,260,ON THE ESPANADE,"BROWN, KEITH CROSBY","AKERS, HOWARD E.",1956,Concert Band,MISSING Db PICCOLO; Eb CLARINET; ALTO CLARINET; 3RD TROMBONE; STRING BASS
SB,116,LET THE TAPE ROLL,"TABACKIN, LEW","AKIYOSHI, TOSHIKO",1975,JAZZ ENSEMBLE,
SB,64,ROAD TIME SHUFFLE,"AKIYOSHI, TOSHIKO","AKIYOSHI, TOSHIKO",1975,JAZZ ENSEMBLE,
SP,120,GREEN PEPPERS,"LAKE, SOL","ALBERT, HERB",1966,,
M,91,ON WISCONSIN!,"PURDY, W.T.","ALFORD, HARRY L.",1937,,
CS,24,TRY TO REMEMBER,"SCHMIDT, HARVEY & JONES, TOM","ANDERSON, JOHN R.",1964,,
LC,196,SONG OF JUPITER,"HANDEL, G.F.","ANDERSON, LEORY",1952,Concert Band,MISSING 1ST CLARINET; 1ST & 2ND ALTO SAX
EN,89,SUITE OF CAROLS,VARIOUS,"ANDERSON, LEROY",1955,WOODWIND ENSEMBLE,
LC,228,WIZARD OF OZ,"ARLEN, HAROLD","ARLEN, HAROLD",1952,Concert Band,
EN,154,Alleluja,Wolfgang Mozart,Arthur Frackenpohl,1986,Brass Quintet,
EN,34,AMERICAN FOLKSONG SUITE,"FOSTER,STEPHEN","ASHFORD,THEODORE",1968,SAX QUARTET,
SB,102,Ballad For A Lady,"AYOUB, NICK","AYOUB, NICK",1982,JAZZ ENSEMBLE,
LC,466,AEGEAN FESTIVAL OVERTURE,"MARKIS, ANDREAS","BADER, MAJOR ALBERT",1970,Concert Band,
LC,326,LIEBESTOD,"WAGNER, RICHARD","BAINUM, GLENN C.",1964,Concert Band,MISSING 1ST & 2ND OBOE
LC,453,VALDRES,"HANSSEN, JOHANNES","BAINUM, GLENN C.",1963,Concert Band,
EN,80,AUSTRALIAN UPCOUNTRY TUNE,"GRAINGER, PERCY ALDRIDGE","BAINUM, GLENN CLIFFE",1971,BRASS CHOIR,
LC,452,SPOON RIVER - AN AMERICAN FOLK DANCE,"GRAINGER, PERCY A.","BAINUM, GLENN CLIFFE",1967,Concert Band,
LC,211,"THREE TRUMPETERS, THE  (DIVERTISSEMENT)","AGOSTINI, G.","BAINUM, GLENN CLIFFE",1939,Concert Band,
LC,314,"SOUL OF '76 (1975), THE","BAKER, DAVID","BAKER, DAVID",1975,Concert Band,MISSING SCORE
SP,109,DINAH - FOX TROT,"AKST, HARRY","BAKER, WM.",1925,,
EN,76,THREE SONGS FOR BRASS QUINTET(THE BEATLES),LENNON & MCCARTNEY,BALDWIN DAVID,1978,BRASS QUINTET,
LC,138,MICHELLE/ELEANOR RIGBY/YESTERDAY,"LENNON, JOHN/MCCARTNEY, PAUL","BALENT, ANDREW",1966,Concert Band,MISSING SCORE
LC,372,WALTZING MATILDA,TRADITIONAL,"BALENT, ANDREW",1973,Concert Band,
EN,100,"MORO, LASSO, AL MIO DUOLO","GESUALDO, CARLO","BALM, NEIL",1984,BRASS QUINTET,
LC,570,Proudly We Hail,"Smith, John Stafford","Balmages, Brian",2002,Concert Band,
LC,112,LAST SPRING,"GRIEG, EDVARD","BARDEEN, ROBERT J.",1962,Concert Band,
SB,139,I've Got a Crush On You,,Barduhn,,Jazz Ensemble,
SB,150,Groovin' Hard,"MENZA, DON","BARDUHN, DAVE",1987,JAZZ ENSEMBLE,
SB,22,HERES THAT RAINY DAY,"BURKE, JOHNNY","BARDUHN, DAVE",1982,JAZZ ENSEMBLE,
SB,169,Music,"King, Carol","Barduhn, Dave",,Jazz Ensemble,
SB,253,Polka Dots & Moonbeams,"Van Heusen, James","Barduhn, Dave",,Jazz Ensemble,
SB,255,That's What Friends Are For,"Sager, C; Bacharach, B","Barduhn, Dave",,Jazz Ensemble,
SB,129,Embraceable You,"GERSHWIN, GEORGE","BARDUHN,DAVE",1986,JAZZ ENSEMBLE,
LC,519,"CHORUS LINE SPECTACULAR, A","HAMLISCH, MARVIN","BARKER, WARREN",1980,Concert Band,
LC,577,Danny Boy,,"Barker, Warren",1991,Concert Band,
LC,406,"GREAT MOVIE MARCHES, THE",VARIOUS,"BARKER, WARREN",,Concert Band,
LC,402,MARVIN HAMLISCH SHOWCASE,"HAMLISCH, MARVIN","BARKER, WARREN",1981,Concert Band,
LC,509,MISS SAIGON (MEDLEY FROM),"SCHONBURG, CLAUDE MICHEL","Barker, Warren",1991,Concert Band,
LC,489,"PHANTOM OF THE OPERA, THE","WEBBER, ANDREW LLOYD","Barker, Warren",1986,Concert Band,
LC,521,SATCHMO!,"ARMSTRONG, LOUIS","BARKER, WARREN",1984,Concert Band,
LC,475,"SINATRA, RECORDED BY","SINATRA,FRANK","BARKER, WARREN",1985,Concert Band,
LC,419,SOUSA!,"SOUSA, J.P.","BARKER, WARREN",1981,Concert Band,MISSING SCORE
LC,579,Strike Up the Band,"Gershwin, George & Ira","Barker, Warren",1997,Concert Band,
LC,550,Swing's The Thing,,"Barker, Warren",1999,Concert Band,
LC,399,TRIBUTE TO IRVING BERLIN,"BERLIN, IRVING","BARKER, WARREN",1979,Concert Band,
MC,17,COLONEL BOGEY MARCH,"ALFORD, KENNETH J.","BARNES, CLIFFORD",1958,Concert Band,
LC,80,FIDELIO,"BEETHOVEN, L.","BARNES, CLIFFORD P.",1957,Concert Band,
LC,167,PROMETHEUS,"BEETHOVEN, L.","BARNES, CLIFFORD P.",1963,Concert Band,
EN,122,CANADIAN BRASS BOOK OF FAVORITE QUINTETS,VARIOUS,"BARNES, WALTER H.",1988,BRASS QUINTET,MISSING SCORE
M,33,"LITTLE GIANT MARCH, THE","MOON, H.","BARNES, WM. E.",1937,,
MC,99,JOY TO THE WORLD,,"BARNHOUSE, C.L.",1894,Concert Band,
SB,244,"WHITE SHADOW, THE (THEME FROM)","POST, M./CARPENTER, P.","BARONE, MIKE",1978,Jazz Ensemble,
EN,198,"FANFARE ""LA PERI""","DUKAS, PAUL","BARRINGTON, WAYNE",1975,BRASS QUINTET,MISSING SCORE
SB,148,Here's That Rainy Day,,Barton,,Jazz Ensemble,
M,110,BUGLE BOY MARCH,"ZIMMERMAN, HARRY & WALD, GEORGE","BASKERVILLE, DAVID",1956,,
SP,56,Mambo Americana (A MAMBO-MARCH),"ZIMMERMAN, HARRY","BASKERVILLE, DAVID",1956,,
LC,12,"PORTRAIT OF MISTER MAGOO, A","FARNON, DENNIS","BASKERVILLE, DAVID",1956,Concert Band,
EN,240,FOUR HYMN TUNE SETTINGS,VARIOUS,"BASLER, PAUL",1993,BRASS QUINTET,
EN,130,THE LIBERTY BELL,"SOUSA, JOHN PHILLIP",BATTLES & HOLCOMBE,1984,BRASS QUINTET,
LC,270,BLUES IN THE NIGHT,"ARLEN, HAROLD","BECK, JOHN NESS",1966,Concert Band,
SP,7,THERE'S SOMETHING ABOUT A SOLDIER - FOX TROT,"GAY, NOEL","BECKER, R.D.",1933,,
LC,413,LINCOLN PORTRAIT,"COPLAND, AARON","BEELER, WALTER",1943,Concert Band,
SP,101,OL' MAN RIVER,"KERN, JEROME","BEELER, WALTER",1952,,
LC,145,OUR TOWN,"CAHN, SAMMY/VAN HEUSEN, JAMES","BEELER, WALTER",1955,Concert Band,
SP,30,SEPTEMBER SONG,"WEILL, KURT","BEELER, WALTER",1952,,
EN,230,A LITTLE SONG QUARTET,BELGIARIO,BELGIARIO,UNKNOWN,TROMBONE QUARTET,
SB,74,SMOOTH TOUCH,"BELLSON, LOUIE & BLACK, DAVE","BELLSON, LOUIE",1988,JAZZ ENSEMBLE,
SP,116,GERONIMO,"SMITH, NICK","BENACK, BEN E.",1957,,
M,235,STAR SPANGLED BANNER,KEY,BENNETT,,,
SP,49,BLUE MOON,RODGERS & HART,"BENNETT, DAVE",1934,,
SP,29,SIBONEY,"LECUONA, ERNESTO","BENNETT, DAVE",1929,,
LC,70,BALLET EGYPTIAN,"LUIGINI, ALEXANDRE","BENNETT, DAVID",1957,Concert Band,MISSING 1ST FLUTE; 1ST BASSOON;2ND TROMBONE
LC,317,CUMANA,"ALLEN, BARCLAY","BENNETT, DAVID",1975,Concert Band,
LC,54,DANCE OF THE HOURS,"PONCHIELLI, AMILCARE","BENNETT, DAVID",1955,Concert Band,
MC,21,DESERT SONG,"ROMBERG, SIGMUND","BENNETT, DAVID",1939,Concert Band,
MC,73,SWANEE,"GERSHWIN, GE0RGE","BENNETT, DAVID",1942,Concert Band,
LC,180,SHOW BOAT,"HAMMERSTEIN,OSCAR/KERN,JEROME","BENNETT, ROBERT RUSELL",1956,Concert Band,MISSING SCORE; 1ST & 2ND Eb ALTO ; 2ND FLUTE; 2ND OBOE
LC,191,VICTORY AT SEA,"RODGERS, RICHARD","BENNETT, ROBERT RUSSEL",1954,Concert Band,
LC,135,"CAMELOT, MUSIC FROM","LOEWE, FREDERICK","BENNETT, ROBERT RUSSELL",1961,Concert Band,MISSING 1ST Eb HORN
LC,384,CAN-CAN,"PORTER, COLE","BENNETT, ROBERT RUSSELL",1956,Concert Band,
LC,91,GERSHWIN,"GERSHWIN, GEORGE","BENNETT, ROBERT RUSSELL",1972,Concert Band,
LC,84,GIGI,"LOEWE, FREDERICK","BENNETT, ROBERT RUSSELL",1958,Concert Band,
LC,204,"KING AND I, THE","HAMMERSTEIN, OSCAR","BENNETT, ROBERT RUSSELL",1951,Concert Band,
LC,131,MY FAIR LADY,"LOEWE, FREDERICK","BENNETT, ROBERT RUSSELL",1956,Concert Band,
LC,141,NO STRINGS,"RODGERS, RICHARD","BENNETT, ROBERT RUSSELL",1962,Concert Band,
LC,431,PORGY AND BESS,"GERSHWIN, GEORGE","BENNETT, ROBERT RUSSELL",1942,Concert Band,
LC,438,SUITE OF OLD AMERICAN DANCES,VARIOUS,"BENNETT, ROBERT RUSSELL",1952,Concert Band,
SB,277,"Take The ""A"" Train",Strayhorn,Berger,,,
SB,171,Love For Sale,,Berry,,Jazz Ensemble,
SB,9,CAGNEY AND LACEY THEME,"CONTI, BILL","BERRY, JOHN",1985,JAZZ ENSEMBLE,
SB,178,Dancing On The Ceiling,"Riche, L; Roij, C; Frenchik, M","Berry, John",1986,Jazz Ensemble,
SB,111,GOLD MINE,"WARREN, MERVYN & MCKNIGHT, CLAUDE","BERRY, JOHN",1989,JAZZ ENSEMBLE,
EN,22,MISSION IMPOSSIBLE THEME,"SCHIFRIN, LALO","BERRY, JOHN",1996,LOW BRASS ENSEMBLE,
SB,84,THEME FROM ALF,"KRAMER, TOM & CLASEN, ALF","BERRY, JOHN",1986,JAZZ ENSEMBLE,
EN,27,TIGER RAG,TRADITIONAL,"BERRY, JOHN",1993,LOW BRASS ENSEMBLE,
LC ,612,LET FREEDOM RING,TRADITIONAL,"BIERSCHENK, KENNY",2010,Concert Band,
LC,306,SUITE FOR BAND,"VILLA-LOBOS, HEITOR","BILIK, JERRY H.",1974,Concert Band,MISSING 2ND FLUTE; 3RD Bb CORNET
EN,91,THE SCREAMER,"JEWELL, FRED","BJORNES, WILLIAM",1989,BRASS QUINTET,
SB,338,AUTUMN LEAVES,"MERCER, JOHNNY","BLAIR, PETER",1950,JAZZ ENESMBLE,
SB,48,Moonlighting,"Holdridge, Lee","Blair, Peter",1986,JAZZ ENSEMBLE,
EN,178,BROOKLYN,YOUNG BLOOD BRASS BAND,"BLASKOWSKI, REESE",2003,BRASS QUINTET,
EN,180,CARRY ON MY WAYWARD SON,KANSAS,"BLASKOWSKI, REESE",1976,BRASS QUINTET,
EN,179,DREAM ON,AEROSMITH,"BLASKOWSKI, REESE",1973,BRASS QUINTET,
EN,224,RADIOACTIVE,IMAGINE DRAGONS,"BLASKOWSKI, REESE",2015,BRASS QUINTET,
EN,225,SOMEBODY TO LOVE,QUEEN,"BLASKOWSKI, REESE",2015,BRASS QUINTET,
EN,183,UPTOWN FUNK,"RONSON, MARK","BLASKOWSKI, REESE",2014,BRASS QUINTET,BACKTRACK AVAILABLE
SP,157,YOU'VE GOTTA HAVE HEART,,"BOWERS, CHARLES",,,
SB,323,Why Should I Care,,"Bowers, Charlie",,Jazz Ensemble,
SP,20,THERE'LL BE SOME CHANGES MADE,"OVERSTREET, W.BENTON","BOWLES, RICHARD",1968,,
LC,545,Flourish for Glorious John,"Williams, Ralph Vaughan","Boyd, John",1998,Concert Band,
LC,527,GOD BLESS THE USA,"GREENWOOD, LEE",BP,,Concert Band,MISSING TENOR SAX; BARI SAX;PERCUSSION;SCORE
M,44,AMERICA,"CAREY, HENRY","BRIEGEL, GEORGE F.",,,
M,44,"AMERICA, THE BEAUTIFUL",WARD,"BRIEGEL, GEORGE F.",,,
M,44,"STAR SPANGLED BANNER, THE","SMITH, JOHN STAFFORD","BRIEGEL, GEORGE F.",,,
LC,300,"JERUSALEM THE GOLDEN, VARIATIONS ON","IVES, CHARLES","BRION, KEITH",1974,Concert Band,
LC,532,I've Made My Plans For The Summer,"Sousa, John Philip","Brion, Keith & Schissel, Loras",1997,Concert Band,
LC,534,"Untitled March, The","Sousa, John Philip","Brion, Keith & Schissel, Loras",1995,Concert Band,
SB,52,NIMBUS,"MARENIC, JAMES","BRISKER, GORDON",1983,JAZZ ENSEMBLE,
MC,3,AROUND THE CAMPFIRE (SEL ON AMERICAN SOLDIER SONGS,"SEREDY, JULIUS S.","BROCKTON, LESTER",,Concert Band,
M,79,STEIN SONG,FENSTAD AND COLCORD,"BROCKTON, LESTER",1910,,
SB,73,SKYLARK,"CARMICHAEL, HOAGY & MERCER, JOHNNY","BROOKMEYER, BOB",1981,JAZZ ENSEMBLE,
SB,10,CERULEAN BLUE,"BROWN, MARSHALL","BROWN, MARSHALL",1959,JAZZ ENSEMBLE,MISSING SCORE
SB,90,"VERY BEST TO YOU, THE","BROWN, MARSHALL","BROWN, MARSHALL",1961,JAZZ ENSEMBLE,
M,236,AMAZING GRACE,"NEWTON, JOHN","BROWN, MICHAEL",,,
LC,150,DIXIELAND ON PARADE,"ANDERSON, LUTHER","BROWN, MICHAEL",2007,Concert Band,MISSING SCORE
LC,216,IT HAD BETTER BE TONIGH,"MANCINI, HENRY","BROWN, MICHAEL",1963,Concert Band,
LC,67,"O BROTHER, WHERE ART THOU?",VARIOUS,"BROWN, MICHAEL",,Concert Band,MISSING SCORE;BARITONE B.C
EN,14,SHENANDOAH,TRADITIONAL,"BROWN, RICHARD",1974,WOODWIND QUINTET,MISSING CLARINET
LC,39,PRELUDIUM AND FUGUE,"FRESCOBALDI, GIROLAMO","BRUNELLI, LOUIS",1969,Concert Band,MISSING TIMPANI;CYMBALS;BELLS;BASS
M,13,SALUTATION (SEITZ) MARCH,,"BUCHTEL, FORREST L.",1949,,NOT IN FILE CABINET
EN,85,GAVOTTE IN F MAJOR,"BEETHOVEN, LUDWIG VAN","BUERIS, JOHN DE",1933,WOODWIND QUINTET,
LC,400,VIDEO VIGNETTES,VARIOUS,"BULLOCK, JACK",1982,Concert Band,
LC,377,"BEST OF BROADWAY, THE",VARIOUS,"BURDEN, JAMES H.",1981,Concert Band,
LC,254,"ROAR OF THE GREASEPAINT, THE SMELL OF THE CROWD","BRICUSSE, L. AND NEWLEY, A.","BURDEN, JAMES H.",1964,Concert Band,
M,229,SAINT LOUIS BLUES MARCH,"HANDY, W.C.","BURGETT, PERRY",,,
SP,22,"SAINT LOUIS BLUES MARCH, THE","HANDY, W.C.","BURGETT, PERRY",1948,,
SP,131,ST. LOUIS BLUES MARCH,"HANDY, W.C.","BURGETT, PERRY",1948,,
SP,153,VALENCIA,"PADILLA, JOSE","BUSH, M.L.",1975,,
M,72,LITTLE LEAGUE MARCH,"PALMER, SOLITA","BUYS, PETER",1950,,
SB,25,FENDER BENDER,"BYERS, BILL","BYERS, BILL",1970,JAZZ ENSEMBLE,
LC,580,All You Need Is Love,"Lennon, John/McCartney, Paul","Cable, Howard",1998,Concert Band,
LC,63,COL. BARNEY OLDFIELD MARCH,"AZZOLINA, LT. COL. MARK","CABLE, HOWARD",1964,Concert Band,
LC,3,AIR FOR THE G STRING,"BACH, J.S.","CACAVAS, JOHN",1971,Concert Band,MISSING HORN PARTS
LC,309,AMERICA,TRADITIONAL,"CACAVAS, JOHN",1969,Concert Band,MISSING 1ST ALTO SAXOPHONE
LC,203,"CHRISTMAS SONG, THE","TORME, MEL/WELLS, ROBERT","CACAVAS, JOHN",1946,Concert Band,
LC,60,CINERAMA MARCH,"GOULD, MORTON","CACAVAS, JOHN",1955,Concert Band,
SP,113,EDELWEISS,RODGERS & HAMMERSTEIN,"CACAVAS, JOHN",1968,,
LC,375,EVITA,"WEBBER, ANDREW LLOYD","CACAVAS, JOHN",1981,Concert Band,
